url,change_type,new_title,new_h1,new_description,reason
https://www.tsurilogue.com/ja/media/fishing-diary-vs-catch-record,REWRITE_METADATA,釣り日記と釣果記録の違い｜思い出用・上達用の使い分け,釣り日記と釣果記録の違い｜思い出用・上達用の使い分け,釣り日記と釣果記録の違いを、思い出を残す目的と釣果アップに活かす目的に分けて解説します。,Batch 4 Phase B: URLを残しつつ検索意図を差別化するため、frontend metadata/H1/card title/JSON-LDを安全に上書き。本文・URL・canonicalは変更なし。
https://www.tsurilogue.com/ja/media/fishing-shop-catch-post-event,REWRITE_METADATA,釣具店イベントで釣果投稿を活用する方法｜来店促進の実践アイデア,釣具店イベントで釣果投稿を活用する方法｜来店促進の実践アイデア,釣具店イベントで釣果投稿を活用し、来店促進や常連化、地域コミュニティづくりにつなげる考え方を紹介します。,Batch 4 Phase B: URLを残しつつ検索意図を差別化するため、frontend metadata/H1/card title/JSON-LDを安全に上書き。本文・URL・canonicalは変更なし。
https://www.tsurilogue.com/ja/media/charter-boat-catch-log,REWRITE_METADATA,遊漁船・船長向け釣果ログ活用術｜釣果投稿を集客に活かす,遊漁船・船長向け釣果ログ活用術｜釣果投稿を集客に活かす,遊漁船や船長が釣果ログを残すメリットを、釣果発信、リピーターづくり、乗船前後の情報提供の視点で解説します。,Batch 4 Phase B: URLを残しつつ検索意図を差別化するため、frontend metadata/H1/card title/JSON-LDを安全に上書き。本文・URL・canonicalは変更なし。
https://www.tsurilogue.com/ja/media/catch-ranking-ideas,REWRITE_METADATA,仲間内ランキング企画アイデア集｜釣果投稿を楽しく続ける工夫,仲間内ランキング企画アイデア集｜釣果投稿を楽しく続ける工夫,仲間内で釣果投稿を続けやすくするランキング企画のアイデアを紹介。月間賞や魚種別チャレンジにも応用できます。,Batch 4 Phase B: URLを残しつつ検索意図を差別化するため、frontend metadata/H1/card title/JSON-LDを安全に上書き。本文・URL・canonicalは変更なし。
https://www.tsurilogue.com/ja/media/fishing-catch-photo-tips,REWRITE_METADATA,釣果写真をきれいに残す撮り方｜あとから見返したくなる記録術,釣果写真をきれいに残す撮り方｜あとから見返したくなる記録術,釣果写真をきれいに残すための撮り方や構図、サイズ感の伝え方を、釣果ログで見返しやすい記録術として解説します。,Batch 4 Phase B: URLを残しつつ検索意図を差別化するため、frontend metadata/H1/card title/JSON-LDを安全に上書き。本文・URL・canonicalは変更なし。
https://www.tsurilogue.com/ja/media/catch-ranking-tsurilogue,REWRITE_METADATA,釣果ランキングで仲間内の釣りを盛り上げる方法,釣果ランキングで仲間内の釣りを盛り上げる方法,釣果ランキングを作るメリットと、仲間内の釣りを楽しく続けるためのランキング設計の考え方を紹介します。,Batch 4 Phase B: URLを残しつつ検索意図を差別化するため、frontend metadata/H1/card title/JSON-LDを安全に上書き。本文・URL・canonicalは変更なし。
https://www.tsurilogue.com/ja/media/fishing-shop-tournament-tsurilogue,REWRITE_METADATA,釣具店がオンライン釣り大会を開催するメリット｜地域コミュニティづくり,釣具店がオンライン釣り大会を開催するメリット｜地域コミュニティづくり,釣具店がオンライン釣り大会を開催するメリットを、来店促進、常連化、地域の釣りコミュニティ形成の視点で解説します。,Batch 4 Phase B: URLを残しつつ検索意図を差別化するため、frontend metadata/H1/card title/JSON-LDを安全に上書き。本文・URL・canonicalは変更なし。
https://www.tsurilogue.com/ja/media/charter-boat-catch-report-tsurilogue,REWRITE_METADATA,遊漁船の釣果投稿を記録・共有・リピーターづくりに活かす方法,遊漁船の釣果投稿を記録・共有・リピーターづくりに活かす方法,遊漁船の釣果投稿を、単なる釣果報告ではなく記録・共有・リピーターづくりに活かす方法として整理します。,Batch 4 Phase B: URLを残しつつ検索意図を差別化するため、frontend metadata/H1/card title/JSON-LDを安全に上書き。本文・URL・canonicalは変更なし。
https://www.tsurilogue.com/ja/media/fishing-tournament-organizer-tsurilogue,REWRITE_METADATA,釣り大会の幹事向け運営ガイド｜告知・投稿・集計をスマホで管理,釣り大会の幹事向け運営ガイド｜告知・投稿・集計をスマホで管理,釣り大会の幹事が告知、釣果投稿、集計、結果発表をスマホで管理しやすくするための運営ポイントをまとめます。,Batch 4 Phase B: URLを残しつつ検索意図を差別化するため、frontend metadata/H1/card title/JSON-LDを安全に上書き。本文・URL・canonicalは変更なし。
https://www.tsurilogue.com/ja/media/organize-fishing-photos,REWRITE_METADATA,スマホの釣果写真整理術｜写真を釣行ログとして活かすコツ,スマホの釣果写真整理術｜写真を釣行ログとして活かすコツ,スマホにたまった釣果写真を整理し、釣行ログとして見返しやすくする方法を紹介します。,Batch 4 Phase B: URLを残しつつ検索意図を差別化するため、frontend metadata/H1/card title/JSON-LDを安全に上書き。本文・URL・canonicalは変更なし。
https://www.tsurilogue.com/ja/media/how-to-write-fishing-diary,REWRITE_METADATA,釣り日記の書き方｜初心者向けテンプレートと続け方,釣り日記の書き方｜初心者向けテンプレートと続け方,初心者でも続けやすい釣り日記の書き方を、記録項目、テンプレート、振り返り方に分けて紹介します。,Batch 4 Phase B: URLを残しつつ検索意図を差別化するため、frontend metadata/H1/card title/JSON-LDを安全に上書き。本文・URL・canonicalは変更なし。
https://www.tsurilogue.com/ja/media/fishing-diary-app,REWRITE_METADATA,釣り日記アプリの選び方｜思い出を残す釣行ログの始め方,釣り日記アプリの選び方｜思い出を残す釣行ログの始め方,釣り日記アプリを選ぶときのポイントを、思い出の保存、写真整理、釣行ログの続けやすさから解説します。,Batch 4 Phase B: URLを残しつつ検索意図を差別化するため、frontend metadata/H1/card title/JSON-LDを安全に上書き。本文・URL・canonicalは変更なし。
