url,title,cluster,primary_keyword,secondary_keywords,search_intent,candidate_parent,is_parent,internal_links_in,internal_links_out,notes
https://www.tsurilogue.com/ja/media/how-to-start-tsurilogue-first-post,TSURILOGUEを始めたら最初にやること｜初回投稿までの流れと釣りログ活用術,TSURILOGUEの使い方・事業者向け,TSURILOGUE 使い方,釣りローグ 使い方;初回投稿;遊漁船活用;釣具店活用;チーム利用,TSURILOGUEで何ができるか、最初にどう使えばよいかを知りたい。,https://www.tsurilogue.com/ja/media/how-to-start-tsurilogue-first-post,true,4,2,PARENT_ARTICLE
https://www.tsurilogue.com/ja/media/online-fishing-tournament-rules,オンライン釣り大会で失敗しないルール設計｜TSURILOGUEで釣果投稿を楽しく公平に運営する方法,釣り大会・オンライン釣り大会,オンライン釣り大会,釣り大会アプリ;釣り大会;大会ルール;釣果ランキング;結果発表,スマホで釣り大会を開催・参加・運営する方法を知りたい。,https://www.tsurilogue.com/ja/media/online-fishing-tournament,false,4,5,
https://www.tsurilogue.com/ja/media/fishing-tournament-app-benefits,釣り大会アプリを使うメリット｜集計・ランキング・結果発表をスマホで簡単に,釣り大会・オンライン釣り大会,オンライン釣り大会,釣り大会アプリ;釣り大会;大会ルール;釣果ランキング;結果発表,スマホで釣り大会を開催・参加・運営する方法を知りたい。,https://www.tsurilogue.com/ja/media/online-fishing-tournament,false,5,5,
https://www.tsurilogue.com/ja/media/manage-catches-with-fishing-friends,仲間内の釣果管理を簡単にする方法｜TSURILOGUEで釣果共有をグループの記録に変えよう,釣果共有,釣果共有,釣果共有アプリ;LINE釣果共有;釣りSNS;仲間内共有;グループ管理,仲間と釣果を共有し、後から振り返れる形で残す方法を知りたい。,https://www.tsurilogue.com/ja/media/catch-sharing-app-line-sns-difference,false,4,5,
https://www.tsurilogue.com/ja/media/catch-sharing-app-line-sns-difference,釣果共有アプリでできること｜LINE・SNSとの違いとTSURILOGUEの活用方法,釣果共有,釣果共有,釣果共有アプリ;LINE釣果共有;釣りSNS;仲間内共有;グループ管理,仲間と釣果を共有し、後から振り返れる形で残す方法を知りたい。,https://www.tsurilogue.com/ja/media/catch-sharing-app-line-sns-difference,true,23,21,PARENT_ARTICLE
https://www.tsurilogue.com/ja/media/catch-log-app-comparison,【2026年版】釣果ログ・釣果投稿アプリの選び方｜記録・共有・大会で使えるサービスを比較,釣果ログ・釣果記録,釣果ログ,釣果記録;釣果記録アプリ;釣果投稿アプリ;釣りログ;釣行記録;釣り日記,釣果をスマホで記録し、見返して次の釣行に活かす方法を知りたい。,https://www.tsurilogue.com/ja/media/catch-log-app-comparison,true,14,12,PARENT_ARTICLE
https://www.tsurilogue.com/ja/media/save-fishing-log-before-sns-post,釣りログをSNSに投稿する前に残しておきたいこと｜TSURILOGUEで釣果写真を「流れる投稿」から「残る記録」へ,釣果共有,釣果共有,釣果共有アプリ;LINE釣果共有;釣りSNS;仲間内共有;グループ管理,仲間と釣果を共有し、後から振り返れる形で残す方法を知りたい。,https://www.tsurilogue.com/ja/media/catch-sharing-app-line-sns-difference,false,5,5,
https://www.tsurilogue.com/ja/media/fishing-trip-memo-smartphone,スマホで釣行メモを残すメリット｜紙の釣りノートとの違いとTSURILOGUE活用術,釣果共有,釣果共有,釣果共有アプリ;LINE釣果共有;釣りSNS;仲間内共有;グループ管理,仲間と釣果を共有し、後から振り返れる形で残す方法を知りたい。,https://www.tsurilogue.com/ja/media/catch-sharing-app-line-sns-difference,false,6,5,
https://www.tsurilogue.com/ja/media/fishing-diary-vs-catch-record,釣り日記と釣果記録の違い｜思い出と上達に活かす釣りログの残し方,釣果ログ・釣果記録,釣果ログ,釣果記録;釣果記録アプリ;釣果投稿アプリ;釣りログ;釣行記録;釣り日記,釣果をスマホで記録し、見返して次の釣行に活かす方法を知りたい。,https://www.tsurilogue.com/ja/media/catch-log-app-comparison,false,4,5,
https://www.tsurilogue.com/ja/media/free-catch-record-app-tsurilogue,無料で使える釣果記録アプリを探している人へ｜TSURILOGUEで始める新しい釣りログ習慣,釣果共有,釣果共有,釣果共有アプリ;LINE釣果共有;釣りSNS;仲間内共有;グループ管理,仲間と釣果を共有し、後から振り返れる形で残す方法を知りたい。,https://www.tsurilogue.com/ja/media/catch-sharing-app-line-sns-difference,false,7,5,
