source_url,source_title,classification,destination_url,destination_title,reason,unique_content_to_migrate,internal_links_to_update,redirect_recommended,risk
https://www.tsurilogue.com/ja/media/fishing-tournament-app-benefits,釣り大会アプリを使うメリット｜集計・ランキング・結果発表をスマホで簡単に,MERGE,https://www.tsurilogue.com/ja/media/online-fishing-tournament,【TSURILOGUE】オンライン釣り大会とは？スマホで楽しむ新しい釣りイベント,釣り大会アプリ / 大会運営 が統合先と近く、代表URLへ評価を集約したい。,独自の具体例、チェックリスト、対象ユーザー別の説明があれば統合先へ移植。GSC_DATA_REQUIRED。,記事詳細・親記事・関連記事ブロックから旧URLへのリンクがある場合は統合先へ更新。,false,MEDIUM: 本文統合作業が必要。重複削除と内部リンク移行を要確認。
https://www.tsurilogue.com/ja/media/fishing-trip-memo-smartphone,スマホで釣行メモを残すメリット｜紙の釣りノートとの違いとTSURILOGUE活用術,MERGE,https://www.tsurilogue.com/ja/media/fishing-catch-memo-smartphone,釣果メモはスマホで残す時代｜紙メモとの違いを解説,釣行メモ / サービス紹介 が統合先と近く、代表URLへ評価を集約したい。,独自の具体例、チェックリスト、対象ユーザー別の説明があれば統合先へ移植。GSC_DATA_REQUIRED。,記事詳細・親記事・関連記事ブロックから旧URLへのリンクがある場合は統合先へ更新。,false,MEDIUM: 本文統合作業が必要。重複削除と内部リンク移行を要確認。
https://www.tsurilogue.com/ja/media/free-catch-record-app-tsurilogue,無料で使える釣果記録アプリを探している人へ｜TSURILOGUEで始める新しい釣りログ習慣,REDIRECT,https://www.tsurilogue.com/ja/media/catch-log-app-comparison,【2026年版】釣果ログ・釣果投稿アプリの選び方｜記録・共有・大会で使えるサービスを比較,釣果記録アプリ / サービス紹介 が統合先と近く、代表URLへ評価を集約したい。,独自の具体例、チェックリスト、対象ユーザー別の説明があれば統合先へ移植。GSC_DATA_REQUIRED。,記事詳細・親記事・関連記事ブロックから旧URLへのリンクがある場合は統合先へ更新。,true,HIGH: GSCデータ確認後に判断。既存流入があれば統合慎重。
https://www.tsurilogue.com/ja/media/how-to-choose-catch-record-app,釣果記録アプリは何を基準に選ぶ？初心者向け比較ポイント｜TSURILOGUEで始める釣りログ習慣,MERGE,https://www.tsurilogue.com/ja/media/catch-log-app-comparison,【2026年版】釣果ログ・釣果投稿アプリの選び方｜記録・共有・大会で使えるサービスを比較,釣果記録アプリ / 比較 が統合先と近く、代表URLへ評価を集約したい。,独自の具体例、チェックリスト、対象ユーザー別の説明があれば統合先へ移植。GSC_DATA_REQUIRED。,記事詳細・親記事・関連記事ブロックから旧URLへのリンクがある場合は統合先へ更新。,false,MEDIUM: 本文統合作業が必要。重複削除と内部リンク移行を要確認。
https://www.tsurilogue.com/ja/media/fishing-log-checklist,釣りログに何を書く？初心者向け記録項目チェックリスト｜TSURILOGUEで釣果記録を始めよう,MERGE,https://www.tsurilogue.com/ja/media/catch-log-items,【TSURILOGUE】釣果記録に残すべき項目一覧｜時間・場所・潮・ルアーをどう残す？,釣りログ / 使い方 が統合先と近く、代表URLへ評価を集約したい。,独自の具体例、チェックリスト、対象ユーザー別の説明があれば統合先へ移植。GSC_DATA_REQUIRED。,記事詳細・親記事・関連記事ブロックから旧URLへのリンクがある場合は統合先へ更新。,false,MEDIUM: 本文統合作業が必要。重複削除と内部リンク移行を要確認。
https://www.tsurilogue.com/ja/media/online-fishing-tournament-tsurilogue,オンライン釣り大会の始め方｜TSURILOGUEで離れた仲間とも釣果投稿で盛り上がろう,MERGE,https://www.tsurilogue.com/ja/media/online-fishing-tournament,【TSURILOGUE】オンライン釣り大会とは？スマホで楽しむ新しい釣りイベント,オンライン釣り大会 / 使い方 が統合先と近く、代表URLへ評価を集約したい。,独自の具体例、チェックリスト、対象ユーザー別の説明があれば統合先へ移植。GSC_DATA_REQUIRED。,記事詳細・親記事・関連記事ブロックから旧URLへのリンクがある場合は統合先へ更新。,false,MEDIUM: 本文統合作業が必要。重複削除と内部リンク移行を要確認。
https://www.tsurilogue.com/ja/media/fishing-tournament-rules-checklist,釣り大会を開く前に決めるべきルール｜TSURILOGUEで失敗しない大会運営のコツ,MERGE,https://www.tsurilogue.com/ja/media/online-fishing-tournament-rules,オンライン釣り大会で失敗しないルール設計｜TSURILOGUEで釣果投稿を楽しく公平に運営する方法,オンライン釣り大会 / 使い方 が統合先と近く、代表URLへ評価を集約したい。,独自の具体例、チェックリスト、対象ユーザー別の説明があれば統合先へ移植。GSC_DATA_REQUIRED。,記事詳細・親記事・関連記事ブロックから旧URLへのリンクがある場合は統合先へ更新。,false,MEDIUM: 本文統合作業が必要。重複削除と内部リンク移行を要確認。
https://www.tsurilogue.com/ja/media/catch-record-app-tsurilogue,釣果記録アプリを使うと釣りはどう変わる？TSURILOGUEで始める新しい釣りログ習慣,REDIRECT,https://www.tsurilogue.com/ja/media/catch-log-app-comparison,【2026年版】釣果ログ・釣果投稿アプリの選び方｜記録・共有・大会で使えるサービスを比較,釣果記録アプリ / サービス紹介 が統合先と近く、代表URLへ評価を集約したい。,独自の具体例、チェックリスト、対象ユーザー別の説明があれば統合先へ移植。GSC_DATA_REQUIRED。,記事詳細・親記事・関連記事ブロックから旧URLへのリンクがある場合は統合先へ更新。,true,HIGH: GSCデータ確認後に判断。既存流入があれば統合慎重。
https://www.tsurilogue.com/ja/media/share-catches-with-fishing-friends-tsurilogue,釣り仲間と釣果共有するなら釣りローグ｜LINEで流れる釣果を残る記録に,MERGE,https://www.tsurilogue.com/ja/media/share-your-catch-with-friends,釣果共有で釣り仲間が増える理由｜TSURILOGUEで「今日釣れた！」をもっと楽しもう,釣果共有 / 事業者向け が統合先と近く、代表URLへ評価を集約したい。,独自の具体例、チェックリスト、対象ユーザー別の説明があれば統合先へ移植。GSC_DATA_REQUIRED。,記事詳細・親記事・関連記事ブロックから旧URLへのリンクがある場合は統合先へ更新。,false,MEDIUM: 本文統合作業が必要。重複削除と内部リンク移行を要確認。
https://www.tsurilogue.com/ja/media/fishing-log-app,釣りログアプリの選び方｜釣果記録・釣行メモをスマホで残す方法,MERGE,https://www.tsurilogue.com/ja/media/catch-log-app-comparison,【2026年版】釣果ログ・釣果投稿アプリの選び方｜記録・共有・大会で使えるサービスを比較,釣りログ / 比較 が統合先と近く、代表URLへ評価を集約したい。,独自の具体例、チェックリスト、対象ユーザー別の説明があれば統合先へ移植。GSC_DATA_REQUIRED。,記事詳細・親記事・関連記事ブロックから旧URLへのリンクがある場合は統合先へ更新。,false,MEDIUM: 本文統合作業が必要。重複削除と内部リンク移行を要確認。
